City,Place Type,Name,PlaceID,Address,Rating,Author,Review
Delhi,cafe,Triveni Terrace Cafe,ChIJgYWp8Cz9DDkRHGRazZ5BlZg,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi",4.4,Pradeep Bhatia,"This is a small cafe which is part outdoors and part indoors.
It is a nice place to go to when combined with a visit to an event happening in the Triveni Kala Sangam. Such places have a charm of their own as they are quite different from a regular restaurant.
We had a good experience. The service was polite, quick. whatever we ordered was excellent value for money."
Delhi,cafe,Triveni Terrace Cafe,ChIJgYWp8Cz9DDkRHGRazZ5BlZg,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi",4.4,Wandering Akriti,"One the very few places that made me rate them 1 star. I don’t usually rate any restaurant so low. But the service here is pathetic and rude. Food is notoriously tasteless. Sitting is absolutely uncomfortable. I could have passed it saying rustic interior but I’m not gonna lie to you. It’s just not good.

They won’t let you eat in peace and throw the menu at your face for next round of order. The ragi idli was way too salty and the lassi was way too sweet.

Not gonna recommend.

The only good part was the green Open air theatre outside where I sat to write this review.

Also the name is misleading. It’s not a terrace cafe. It’s on ground floor with some open air sitting space."
Delhi,cafe,Triveni Terrace Cafe,ChIJgYWp8Cz9DDkRHGRazZ5BlZg,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi",4.4,Rajeev Verma,"It's one of the best cafe in the central Delhi area, good food, good ambience, great vibes, art , theater, music, etc,

The food is just amazing, the menu is very simple and the prices are very reasonable , their drinks are also simple but tasty..

Parking is not a problem, the place is simply outstanding... worth going again and again..."
Delhi,cafe,Triveni Terrace Cafe,ChIJgYWp8Cz9DDkRHGRazZ5BlZg,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi",4.4,shivani dubey,"This place is such a soothing, cozy place to relax & enjoy food. They also organized some kind of dance performances & other cultural related fests. Basically it is an art gallery where you can enjoy some different kinds of pictures photographed by some famous persons."
Delhi,cafe,Triveni Terrace Cafe,ChIJgYWp8Cz9DDkRHGRazZ5BlZg,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi",4.4,Srishti Jha,"*Ambience (4.5/5) :- The ambience was too cool and cozy. Ideal place to visit during monsoon. It is situated inside Triveni Kala Sangam so you can both enjoy food and Art

* Service (5/5):- The service was very fast unexpectedly. The staff were very cooperative and friendly.

*Food (5/5):- Ordered their Palak Patta Chaat ; Masal chai and Veg thali
Palak patta chaat was damn tasty . Couldn't wait more to take pictures 😀 Also chai and veg thali were good too. Must try their palak patta chaat if you visit.

OVERALL VERDICT:- 5/5"
Delhi,cafe,Another Fine Day Cafe & Reading Room,ChIJ___P1ssYDTkRQDTjL5IZreU,"Ground Floor, MPD Tower, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram",4.4,Siddhant Chopra,"I really had a good breakfast experience at this place. A good part is that they serve all day breakfast which means u can have it at anytime

My favourite were the pancake with banana on the side of Nutella and maple syrup and tomato mozzarella sandwich
The cold coffee was nice too

You can definitely plan a breakfast outing with friends/family 😉 #mydeliciousjourney"
Delhi,cafe,Another Fine Day Cafe & Reading Room,ChIJ___P1ssYDTkRQDTjL5IZreU,"Ground Floor, MPD Tower, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram",4.4,Ram narayan Vanneri,"Was here for lunch on a weekday. The place was not busy and we found the table without waiting. The place is located inside a corporate building on the ground floor. They have few books and indoor games available for use. The food was great, specially the sandwich. Digital payment are accepted. The place was quite and has tables suitable for couples and groups. They also have high chairs."
Delhi,cafe,Another Fine Day Cafe & Reading Room,ChIJ___P1ssYDTkRQDTjL5IZreU,"Ground Floor, MPD Tower, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram",4.4,Ashish Mishra,"Excellent cafe with a great selection for brunch.This cafe is cozy and beautifully designed, i loved the area of books and games available in this place..They have a lot on their menu ranging from burgers to pasta to mezze platters and mains along with beverages and desserts.The food is also good and the coffee is decent.A great place to hangout with friends or family.

I definitely recommend ..."
Delhi,cafe,Another Fine Day Cafe & Reading Room,ChIJ___P1ssYDTkRQDTjL5IZreU,"Ground Floor, MPD Tower, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram",4.4,Sidharth Shukla,"Been here a few times since one started working on golf course road.

Nice place with a decent menu. Can be quite full on weekdays during lunch owing to being located near so many offices.

Small parking space which can be a pain but do ask the guard for help.

Prices are OK depending on what you eat. In some cases I think it's over priced.. A simple ham (chicken not pork) and cheese sandwich is almost 400... Good sandwich but shoukd be closer to 250 for quantity given.

Worth a visit."
Delhi,cafe,Another Fine Day Cafe & Reading Room,ChIJ___P1ssYDTkRQDTjL5IZreU,"Ground Floor, MPD Tower, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram",4.4,Sahil Mittal,"This cafe is cozy and beautifully designed, exuding a delightful ambiance and vibe. I especially loved the array of books and games available to enjoy alongside your meal. Moreover, the food was delicious, adding to the overall experience. It's a charming spot for a relaxing meal."
